entidad,codigo_adjudicacion,fecha_adjudicacion,fecha_finalizacion,plazo_gestion,tramo_gestion,rango_deuda,casos_activos_abiertos,importe_asignado,importe_base_deuda,telefonos_total,telefonos_contactados,telefonos_sin_contacto,contactado_sin_llamada,contactado_1_a_3_intentos,contactado_4_a_6_intentos,contactado_mayor_6_intentos,sin_contacto_sin_llamada,sin_contacto_1_a_3_intentos,sin_contacto_4_a_6_intentos,sin_contacto_mayor_6_intentos,llamadas_total
ADT0,260513,2026-05-13,2026-05-31,14,"1) 0 a 30 dias","1) MENOR A $5.000",10,30819.76,30819.76,23,11,12,11,0,0,0,12,0,0,0,0
ADT0,260513,2026-05-13,2026-05-31,14,"1) 0 a 30 dias","2) $5.001 a $10.000",9,67528.48,67528.48,20,11,9,5,1,0,5,4,0,0,5,114
ADT0,260513,2026-05-13,2026-05-31,14,"1) 0 a 30 dias","3) $10.001 a $20.000",15,255425.23,255425.23,37,16,21,5,3,1,7,13,0,1,7,192
ADT0,260513,2026-05-13,2026-05-31,14,"1) 0 a 30 dias","4) $20.001 a $35.000",60,1634712.37,1634712.37,116,56,60,13,5,7,31,34,4,1,21,648
ADT0,260513,2026-05-13,2026-05-31,14,"1) 0 a 30 dias","5) $35.001 a $50.000",87,3814878.41,3814878.41,212,106,106,44,11,9,42,66,5,5,30,962
ADT0,260513,2026-05-13,2026-05-31,14,"1) 0 a 30 dias","6) $50.001 a $100.000",350,26393906.54,26393906.54,728,309,419,93,37,26,153,217,40,12,150,3698
ADT0,260513,2026-05-13,2026-05-31,14,"1) 0 a 30 dias","7) $100.001 a $500.000",277,33948224.70,33948224.70,651,271,380,103,31,19,118,226,23,9,122,2874
ADT0,260515,2026-05-15,2026-05-31,12,"1) 0 a 30 dias","1) MENOR A $5.000",120,403680.17,403680.17,281,128,153,128,0,0,0,153,0,0,0,0
ADT0,260515,2026-05-15,2026-05-31,12,"1) 0 a 30 dias","2) $5.001 a $10.000",67,461711.74,461711.74,154,71,83,25,12,12,22,55,8,3,17,470
ADT0,260515,2026-05-15,2026-05-31,12,"1) 0 a 30 dias","3) $10.001 a $20.000",135,2197649.08,2197649.08,315,148,167,54,14,25,55,120,17,6,24,889
ADT0,260515,2026-05-15,2026-05-31,12,"1) 0 a 30 dias","4) $20.001 a $35.000",474,12822258.14,12822258.14,979,550,429,177,52,119,202,303,30,21,75,3234
ADT0,260515,2026-05-15,2026-05-31,12,"1) 0 a 30 dias","5) $35.001 a $50.000",382,16252680.95,16252680.95,858,456,402,136,46,90,184,283,37,31,51,2730
ADT0,260515,2026-05-15,2026-05-31,12,"1) 0 a 30 dias","6) $50.001 a $100.000",990,74155074.98,74155074.98,2207,1151,1056,363,170,301,317,766,78,76,136,6115
ADT0,260515,2026-05-15,2026-05-31,12,"1) 0 a 30 dias","7) $100.001 a $500.000",979,122898711.41,122898711.41,2193,1181,1012,387,153,283,358,761,79,58,114,6049
AUSO,ENE23,2023-01-04,2027-01-03,1239,"6) Mayor a 360 dias","1) MENOR A $5.000",521,569241.60,569241.60,1059,444,615,423,19,2,0,614,1,0,0,37
AUSO,ENE23,2023-01-04,2027-01-03,1239,"6) Mayor a 360 dias","2) $5.001 a $10.000",41,297203.02,297203.02,87,38,49,7,29,1,1,46,3,0,0,66
AUSO,ENE23,2023-01-04,2027-01-03,1239,"6) Mayor a 360 dias","3) $10.001 a $20.000",16,207382.31,207382.31,39,12,27,1,4,4,3,24,2,1,0,56
AUSO,ENE23,2023-01-04,2027-01-03,1239,"6) Mayor a 360 dias","4) $20.001 a $35.000",12,301775.99,301775.99,34,13,21,3,5,4,1,15,4,2,0,54
AUSO,ENE23,2023-01-04,2027-01-03,1239,"6) Mayor a 360 dias","5) $35.001 a $50.000",2,88677.88,88677.88,6,3,3,0,1,1,1,1,2,0,0,20
AUSO,ENE23,2023-01-04,2027-01-03,1239,"6) Mayor a 360 dias","6) $50.001 a $100.000",3,199984.60,199984.60,7,2,5,0,0,2,0,4,1,0,0,11
AUSO,ENE23,2023-01-04,2027-01-03,1239,"6) Mayor a 360 dias","7) $100.001 a $500.000",1,105164.92,105164.92,3,3,0,0,2,1,0,0,0,0,0,7
AUSO,FEB23,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","1) MENOR A $5.000",3497,1372622.04,1372622.04,5704,2249,3455,2193,55,1,0,3454,1,0,0,68
AUSO,FEB23,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","2) $5.001 a $10.000",16,100986.71,100986.71,28,8,20,1,7,0,0,20,0,0,0,8
AUSO,FEB23,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","3) $10.001 a $20.000",4,51102.82,51102.82,14,4,10,0,4,0,0,9,1,0,0,7
AUSO,FEB23,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","6) $50.001 a $100.000",1,91736.30,91736.30,1,1,0,0,0,1,0,0,0,0,0,4
AUSO,FEB23E,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","1) MENOR A $5.000",256,226929.37,226929.37,492,226,266,212,14,0,0,265,1,0,0,17
AUSO,FEB23E,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","2) $5.001 a $10.000",8,58547.50,58547.50,15,8,7,1,7,0,0,7,0,0,0,9
AUSO,FEB23E,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","3) $10.001 a $20.000",1,12802.90,12802.90,2,1,1,0,1,0,0,0,1,0,0,3
AUSO,FEB23E,2023-02-03,2027-02-02,1209,"6) Mayor a 360 dias","4) $20.001 a $35.000",1,24869.17,24869.17,4,3,1,0,0,3,0,1,0,0,0,16
AUSO,MAR23,2023-03-03,2027-03-02,1181,"6) Mayor a 360 dias","1) MENOR A $5.000",245,317732.23,317732.23,394,138,256,123,15,0,0,256,0,0,0,19
AUSO,MAR23,2023-03-03,2027-03-02,1181,"6) Mayor a 360 dias","2) $5.001 a $10.000",22,150307.40,150307.40,50,19,31,0,18,1,0,31,0,0,0,32
AUSO,MAR23,2023-03-03,2027-03-02,1181,"6) Mayor a 360 dias","3) $10.001 a $20.000",8,111154.15,111154.15,11,8,3,0,8,0,0,3,0,0,0,12
AUSO,MAR23,2023-03-03,2027-03-02,1181,"6) Mayor a 360 dias","4) $20.001 a $35.000",2,55365.08,55365.08,2,1,1,0,0,1,0,1,0,0,0,4
AUSO,MAR23E,2023-03-03,2027-03-02,1181,"6) Mayor a 360 dias","1) MENOR A $5.000",324,247832.53,247832.53,1011,409,602,401,8,0,0,602,0,0,0,8
AUSO,MAR23E,2023-03-03,2027-03-02,1181,"6) Mayor a 360 dias","2) $5.001 a $10.000",8,52527.38,52527.38,26,10,16,0,10,0,0,16,0,0,0,12
AUSO,MAR23E,2023-03-03,2027-03-02,1181,"6) Mayor a 360 dias","3) $10.001 a $20.000",2,26467.74,26467.74,2,1,1,0,1,0,0,1,0,0,0,2
AUSO,ABR23,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","1) MENOR A $5.000",578,638524.86,638524.86,1070,404,666,386,18,0,0,665,1,0,0,23
AUSO,ABR23,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","2) $5.001 a $10.000",22,146852.30,146852.30,36,17,19,3,14,0,0,19,0,0,0,16
AUSO,ABR23,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","3) $10.001 a $20.000",3,32755.87,32755.87,12,0,12,0,0,0,0,12,0,0,0,0
AUSO,ABR23,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","4) $20.001 a $35.000",1,27183.94,27183.94,1,0,1,0,0,0,0,1,0,0,0,0
AUSO,ABR23,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","5) $35.001 a $50.000",1,41508.37,41508.37,1,1,0,0,0,0,1,0,0,0,0,8
AUSO,ABR23,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","6) $50.001 a $100.000",1,78520.50,78520.50,15,3,12,0,2,1,0,10,2,0,0,13
AUSO,ABR23E,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","1) MENOR A $5.000",1492,509999.57,509999.57,2918,1260,1658,1245,15,0,0,1657,1,0,0,22
AUSO,ABR23E,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","2) $5.001 a $10.000",5,39384.58,39384.58,14,7,7,0,7,0,0,7,0,0,0,8
AUSO,ABR23E,2023-04-04,2027-04-03,1149,"6) Mayor a 360 dias","3) $10.001 a $20.000",1,12166.50,12166.50,4,0,4,0,0,0,0,4,0,0,0,0
AUSO,MAY23,2023-05-03,2027-05-02,1120,"6) Mayor a 360 dias","1) MENOR A $5.000",439,483483.00,483483.00,744,361,383,345,15,1,0,383,0,0,0,23
AUSO,MAY23,2023-05-03,2027-05-02,1120,"6) Mayor a 360 dias","2) $5.001 a $10.000",25,169455.62,169455.62,56,19,37,2,17,0,0,37,0,0,0,23
AUSO,MAY23,2023-05-03,2027-05-02,1120,"6) Mayor a 360 dias","3) $10.001 a $20.000",4,45809.50,45809.50,6,4,2,0,4,0,0,2,0,0,0,5
AUSO,MAY23,2023-05-03,2027-05-02,1120,"6) Mayor a 360 dias","4) $20.001 a $35.000",2,47268.00,47268.00,2,2,0,0,2,0,0,0,0,0,0,5
AUSO,MAY23E,2023-05-03,2027-05-02,1120,"6) Mayor a 360 dias","1) MENOR A $5.000",518,255980.74,255980.74,1376,558,818,545,13,0,0,817,1,0,0,16
AUSO,MAY23E,2023-05-03,2027-05-02,1120,"6) Mayor a 360 dias","2) $5.001 a $10.000",8,57322.28,57322.28,434,157,277,148,9,0,0,277,0,0,0,11
AUSO,MAY23E,2023-05-03,2027-05-02,1120,"6) Mayor a 360 dias","3) $10.001 a $20.000",2,29885.18,29885.18,3,2,1,0,2,0,0,1,0,0,0,2
AUSO,JUN23,2023-06-02,2027-06-01,1090,"6) Mayor a 360 dias","1) MENOR A $5.000",336,438289.45,438289.45,580,251,329,237,14,0,0,329,0,0,0,17
AUSO,JUN23,2023-06-02,2027-06-01,1090,"6) Mayor a 360 dias","2) $5.001 a $10.000",33,225094.07,225094.07,73,26,47,0,26,0,0,47,0,0,0,36
AUSO,JUN23,2023-06-02,2027-06-01,1090,"6) Mayor a 360 dias","3) $10.001 a $20.000",8,117047.36,117047.36,16,9,7,0,9,0,0,5,2,0,0,15
AUSO,JUN23,2023-06-02,2027-06-01,1090,"6) Mayor a 360 dias","4) $20.001 a $35.000",3,74876.38,74876.38,16,4,12,0,4,0,0,11,1,0,0,8
AUSO,JUN23E,2023-06-02,2027-06-01,1090,"6) Mayor a 360 dias","1) MENOR A $5.000",129,144009.52,144009.52,252,119,133,113,6,0,0,133,0,0,0,8
AUSO,JUN23E,2023-06-02,2027-06-01,1090,"6) Mayor a 360 dias","2) $5.001 a $10.000",7,51987.18,51987.18,20,10,10,0,10,0,0,10,0,0,0,12
AUSO,JUL23,2023-07-06,2027-07-05,1056,"6) Mayor a 360 dias","1) MENOR A $5.000",598,576640.44,576640.44,1058,442,616,428,14,0,0,616,0,0,0,19
AUSO,JUL23,2023-07-06,2027-07-05,1056,"6) Mayor a 360 dias","2) $5.001 a $10.000",21,139007.01,139007.01,39,23,16,1,18,2,2,16,0,0,0,44
AUSO,JUL23,2023-07-06,2027-07-05,1056,"6) Mayor a 360 dias","3) $10.001 a $20.000",3,47360.25,47360.25,3,1,2,0,1,0,0,2,0,0,0,1
AUSO,JUL23E,2023-07-06,2027-07-05,1056,"6) Mayor a 360 dias","1) MENOR A $5.000",211,184623.97,184623.97,406,211,195,207,4,0,0,195,0,0,0,5
AUSO,JUL23E,2023-07-06,2027-07-05,1056,"6) Mayor a 360 dias","2) $5.001 a $10.000",4,22864.51,22864.51,8,2,6,0,2,0,0,6,0,0,0,2
AUSO,JUL23E,2023-07-06,2027-07-05,1056,"6) Mayor a 360 dias","3) $10.001 a $20.000",2,24793.66,24793.66,7,1,6,0,1,0,0,6,0,0,0,2
AUSO,AGO23,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","1) MENOR A $5.000",469,563964.55,563964.55,853,379,474,350,29,0,0,474,0,0,0,36
AUSO,AGO23,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","2) $5.001 a $10.000",18,116633.14,116633.14,28,12,16,0,12,0,0,16,0,0,0,17
AUSO,AGO23,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","3) $10.001 a $20.000",4,44202.00,44202.00,9,1,8,0,1,0,0,8,0,0,0,2
AUSO,AGO23,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","4) $20.001 a $35.000",1,34032.61,34032.61,1,0,1,0,0,0,0,1,0,0,0,0
AUSO,AGO23E,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","1) MENOR A $5.000",140,136313.79,136313.79,608,209,399,196,13,0,0,399,0,0,0,14
AUSO,AGO23E,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","2) $5.001 a $10.000",4,29591.42,29591.42,370,95,275,87,8,0,0,275,0,0,0,10
AUSO,AGO23E,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","3) $10.001 a $20.000",1,10067.28,10067.28,1,1,0,0,1,0,0,0,0,0,0,1
AUSO,AGO23E,2023-08-03,2027-08-02,1028,"6) Mayor a 360 dias","4) $20.001 a $35.000",1,26855.49,26855.49,1,1,0,0,1,0,0,0,0,0,0,2
AUSO,SEP23,2023-09-05,2027-09-04,995,"6) Mayor a 360 dias","1) MENOR A $5.000",456,515924.82,515924.82,763,317,446,300,15,2,0,446,0,0,0,24
AUSO,SEP23,2023-09-05,2027-09-04,995,"6) Mayor a 360 dias","2) $5.001 a $10.000",22,141303.19,141303.19,30,17,13,0,17,0,0,13,0,0,0,24
AUSO,SEP23,2023-09-05,2027-09-04,995,"6) Mayor a 360 dias","3) $10.001 a $20.000",6,78229.96,78229.96,7,4,3,0,4,0,0,3,0,0,0,5
AUSO,SEP23E,2023-09-05,2027-09-04,995,"6) Mayor a 360 dias","1) MENOR A $5.000",129,126117.57,126117.57,228,105,123,99,6,0,0,123,0,0,0,7
AUSO,SEP23E,2023-09-05,2027-09-04,995,"6) Mayor a 360 dias","2) $5.001 a $10.000",2,14998.63,14998.63,4,3,1,0,3,0,0,1,0,0,0,3
AUSO,SEP23E,2023-09-05,2027-09-04,995,"6) Mayor a 360 dias","3) $10.001 a $20.000",2,27956.80,27956.80,4,3,1,0,3,0,0,1,0,0,0,4
AUSO,SEP23E,2023-09-05,2027-09-04,995,"6) Mayor a 360 dias","4) $20.001 a $35.000",1,25891.17,25891.17,2,2,0,0,0,2,0,0,0,0,0,10
AUSO,OCT23,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","1) MENOR A $5.000",384,461548.44,461548.44,712,288,424,272,16,0,0,424,0,0,0,21
AUSO,OCT23,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","2) $5.001 a $10.000",26,185565.29,185565.29,57,19,38,0,19,0,0,38,0,0,0,23
AUSO,OCT23,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","3) $10.001 a $20.000",3,41654.87,41654.87,12,2,10,0,2,0,0,10,0,0,0,4
AUSO,OCT23,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","5) $35.001 a $50.000",1,43112.03,43112.03,2,2,0,0,1,1,0,0,0,0,0,9
AUSO,OCT23E,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","1) MENOR A $5.000",109,112306.40,112306.40,164,89,75,87,2,0,0,74,1,0,0,4
AUSO,OCT23E,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","2) $5.001 a $10.000",1,7279.00,7279.00,1,1,0,0,1,0,0,0,0,0,0,1
AUSO,OCT23E,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","3) $10.001 a $20.000",3,46010.59,46010.59,6,2,4,0,2,0,0,4,0,0,0,2
AUSO,OCT23E,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","5) $35.001 a $50.000",2,87624.43,87624.43,4,2,2,0,1,1,0,2,0,0,0,5
AUSO,OCT23E,2023-10-04,2027-10-03,966,"6) Mayor a 360 dias","6) $50.001 a $100.000",1,53407.54,53407.54,4,1,3,1,0,0,0,3,0,0,0,0
AUSO,NOV23,2023-11-02,2027-11-01,937,"6) Mayor a 360 dias","1) MENOR A $5.000",401,470418.04,470418.04,736,301,435,292,9,0,0,435,0,0,0,9
AUSO,NOV23,2023-11-02,2027-11-01,937,"6) Mayor a 360 dias","2) $5.001 a $10.000",18,119826.26,119826.26,20,12,8,0,12,0,0,8,0,0,0,17
AUSO,NOV23,2023-11-02,2027-11-01,937,"6) Mayor a 360 dias","3) $10.001 a $20.000",6,80966.75,80966.75,8,3,5,0,3,0,0,5,0,0,0,3
AUSO,NOV23,2023-11-02,2027-11-01,937,"6) Mayor a 360 dias","5) $35.001 a $50.000",1,42541.00,42541.00,1,1,0,0,1,0,0,0,0,0,0,3
AUSO,NOV23E,2023-11-02,2027-11-01,937,"6) Mayor a 360 dias","1) MENOR A $5.000",129,155180.95,155180.95,186,101,85,96,5,0,0,85,0,0,0,6
AUSO,NOV23E,2023-11-02,2027-11-01,937,"6) Mayor a 360 dias","2) $5.001 a $10.000",2,14460.00,14460.00,2,2,0,0,2,0,0,0,0,0,0,3
